"Yakutsk Ordzhonikidze, 56 francs",0
"Yakutsk TC ""Central"" franc",1
"Adygea Shopping Center ""Mega""",2
"Balashikha TRK ""October-Kinomir""",3
"Volzhsky shopping center ""Volga Mall""",4
"Vologda Shopping and Entertainment Center ""Marmalade""",5
"Voronezh (Plekhanovskaya, 13)",6
"Voronezh SEC ""Maksimir""",7
"Voronezh SEC-City Park ""Grad""",8
Outbound Trade,9
Zhukovsky Str. ,10
Zhukovsky Str. ,11
Online shop Emergency,12
"Kazan Shopping Center ""Behetle""",13
"Kazan Shopping Center ""ParkHouse"" II",14
"Kaluga SEC ""XXI Century""",15
"Kolomna shopping center ""Rio""",16
"Krasnoyarsk Shopping center ""Vzletka Plaza""",17
"Krasnoyarsk Shopping center ""June""",18
"Kursk TC ""Pushkinsky""",19
"Moscow ""Sale""",20
"Moscow MTRTS ""Afi Mall""",21
Moscow Shop С21,22
"Moscow TC ""Budenovskiy"" (pav.A2)",23
"Moscow TC ""Budenovskiy"" (pav.K7)",24
"Moscow TRK ""Atrium""",25
"Moscow Trade Center ""Areal"" (Belyaevo)",26
"Moscow ТЦ ""MEGA Belaya Dacha II""",27
"Moscow ТЦ ""MEGA Teply Stan"" II",28
"Moscow TC ""New Century"" (Novokosino)",29
"Moscow TC ""Perlovsky""",30
"Moscow ТЦ ""Семеновский""",31
"Moscow Shopping Center ""Silver House""",32
"Mytischi TRK ""XL-3""",33
"N.Novgorod TRC ""RIO""",34
"N.Novgorod SEC ""Fantastic""",35
"Novosibirsk TRC ""Gallery Novosibirsk""",36
"Novosibirsk Shopping center ""Mega""",37
"Omsk Shopping Center ""Mega""",38
"RostovNaDonu TRC ""Megacenter Horizon""",39
"RostovNaDonu TRC ""Megacenter Horizon"" Island",40
"RostovNaDonu Shopping Center ""Mega""",41
"SPb TC ""Nevsky Center""",42
"SPb TK ""Sennaya""",43
"Samara TC ""Melody""",44
"Samara Shopping Center ""ParkHouse""",45
"Sergiev Posad Shopping center ""7YA""",46
"Surgut shopping and entertainment center ""City Mall""",47
"Tomsk SEC ""Emerald City""",48
"Tyumen SEC ""Crystal""",49
"Tyumen shopping center ""Goodwin""",50
"Tyumen Shopping Center ""Green Beach""",51
"Ufa TC ""Central""",52
"Ufa TC ""Family"" 2",53
"Khimki Shopping Center ""Mega""",54
Digital warehouse 1C-Online,55
"Chekhov SEC ""Carnival""",56
"Yakutsk Ordzhonikidze, 56",57
Yakutsk Central shopping center,58
"Yaroslavl Shopping center ""Altair""",59
